iteration,max_diff,ave_diff,max_diff_true,ave_diff_true
1,0.555494806884,0.291601618478,0.950563993300,0.498879313587
2,0.624091557246,0.319063936882,0.888784186405,0.453723683189
3,0.640129424269,0.321368545581,0.704141219121,0.352326632636
4,0.668476296832,0.334723128504,0.177874489245,0.083683376281
5,0.924695792007,0.462470510487,1.523628613722,0.754226687065
6,0.098684120182,0.048119276648,31.930952657557,15.953497612787
7,0.088140269191,0.043330555690,29.035973191346,14.509118865362
8,0.078707534176,0.038882693157,26.666176485659,13.312209570119
9,0.070580014285,0.034978902197,24.685303933497,12.315659040807
10,0.063655665902,0.031616669461,23.015511927709,11.477776771108
11,0.057761074234,0.028734127707,21.593448442066,10.765473657063
12,0.052724315966,0.026258955476,20.369712320381,10.153292707900
13,0.048396000462,0.024124337750,19.306195266675,9.621759914028
14,0.044652493035,0.022273197194,18.373450528556,9.155912235645
15,0.041393418459,0.020658294561,17.548563747206,8.744152822070
16,0.038537787656,0.019241022517,16.813537779651,8.377400584023
17,0.036020243189,0.017989940705,16.154094693187,8.048467513373
18,0.033787862056,0.016879418139,15.558791956589,7.751603302105
19,0.031797571473,0.015888486259,15.018368764748,7.482160637999
20,0.030014107658,0.014999908135,14.525259463534,7.236347224764
21,0.028408418853,0.014199436858,14.073228346440,7.011040329745
22,0.026956419070,0.013475229213,13.657093040224,6.803646718441
23,0.025638014285,0.012817383048,13.272513020221,6.611995814328
24,0.024436338887,0.012217571775,12.915826411010,6.434257407509
25,0.023337262220,0.011668754710,12.583922903564,6.268877675021
26,0.022330236134,0.011164946526,12.274143930624,6.114528990335
27,0.021403032655,0.010701032862,11.984203598256,5.970070213070
28,0.020546674099,0.010272622080,11.712125559785,5.834515015598
29,0.019753618997,0.009875925447,11.456192237365,5.707006425936
30,0.019017328677,0.009507659761,11.214903683906,5.586796218344
31,0.018332110188,0.009164967806,10.986944029471,5.473228114008
32,0.017692987148,0.008845353029,10.771153938434,5.365723998604
33,0.017095593024,0.008546625628,10.566507863457,5.263772545614
34,0.016536082531,0.008266857829,10.372095152893,5.166919770959
35,0.016011057736,0.008004346629,10.187104273346,5.074761147993
36,0.015517506148,0.007757582593,10.010809565668,4.986934990824
37,0.015052748627,0.007525223629,9.842560073071,4.903116874506
38,0.014614395371,0.007306072839,9.681770073268,4.823014907570
39,0.014200308586,0.007099059742,9.527911019205,4.746365708840
40,0.013808570696,0.006903224293,9.380504649898,4.672930969102
41,0.013437457171,0.006717703232,9.239117077868,4.602494500757
42,0.013085413228,0.006541718378,9.103353695306,4.534859696454
43,0.012751033772,0.006374566562,8.972854769586,4.469847331995
44,0.012433046083,0.006215610935,8.847291621556,4.407293660217
45,0.012130294813,0.006064273440,8.726363298448,4.347048751788
46,0.011841728959,0.005920028278,8.609793668161,4.288975046308
47,0.011566390503,0.005782396213,8.497328873806,4.232946083183
48,0.011303404497,0.005650939596,8.388735097341,4.178845386719
49,0.011051970363,0.005525258010,8.283796589228,4.126565483921
50,0.010811354262,0.005404984442,8.182313927835,4.076007036894
51,0.010580882368,0.005289781914,8.084102477793,4.027078074458
52,0.010359934928,0.005179340509,7.988991021192,3.979693309971
53,0.010147941011,0.005073374736,7.896820539343,3.933773534211
54,0.009944373853,0.004971621205,7.807443126038,3.889245073837
55,0.009748746708,0.004873836544,7.720721015987,3.846039307254
56,0.009560609165,0.004779795561,7.636525714362,3.804092230897
57,0.009379543858,0.004689289588,7.554737215334,3.763344069858
58,0.009205163516,0.004602125015,7.475243299106,3.723738927648
59,0.009037108331,0.004518121965,7.397938898353,3.685224470549
60,0.008875043591,0.004437113110,7.322725526162,3.647751642615
61,0.008718657545,0.004358942610,7.249510758578,3.611274407881
62,0.008567659494,0.004283465146,7.178207765733,3.575749516794
63,0.008421778054,0.004210545062,7.108734886297,3.541136294213
64,0.008280759593,0.004140055576,7.041015240616,3.507396446702
65,0.008144366821,0.004071878077,6.974976378467,3.474493887062
66,0.008012377499,0.004005901481,6.910549957858,3.442394574337
67,0.007884583280,0.003942021647,6.847671451700,3.411066367693
68,0.007760788647,0.003880140849,6.786279879546,3.380478892805
69,0.007640809947,0.003820167294,6.726317561929,3.350603419486
70,0.007524474514,0.003762014679,6.667729895077,3.321412749474
71,0.007411619865,0.003705601794,6.610465144060,3.292881113404
72,0.007302092966,0.003650852149,6.554474252620,3.264984076083
73,0.007195749558,0.003597693645,6.499710668106,3.237698449296
74,0.007092453546,0.003546058260,6.446130180153,3.211002211455
75,0.006992076429,0.003495881769,6.393690771821,3.184874433456
76,0.006894496784,0.003447103487,6.342352482096,3.159295210194
77,0.006799599787,0.003399666025,6.292077278749,3.134245597237
78,0.006707276775,0.003353515074,6.242828940627,3.109707552206
79,0.006617424840,0.003308599202,6.194572948583,3.085663880441
80,0.006529946455,0.003264869666,6.147276384302,3.062098184619
81,0.006444749130,0.003222280242,6.100907836350,3.038994817958
82,0.006361745094,0.003180787063,6.055437312864,3.016338840730
83,0.006280850995,0.003140348470,6.010836160318,2.994115979802
84,0.006201987633,0.003100924881,5.967076987886,2.972312590969
85,0.006125079701,0.003062478660,5.924133596950,2.950915623838
86,0.006050055553,0.003024973998,5.881980915346,2.929912589086
87,0.005976846984,0.002988376809,5.840594935971,2.909291527878
88,0.005905389029,0.002952654623,5.799952659428,2.889040983303
89,0.005835619770,0.002917776496,5.760032040384,2.869149973657
90,0.005767480164,0.002883712920,5.720811937374,2.849607967443
91,0.005700913877,0.002850435738,5.682272065786,2.830404859954
92,0.005635867132,0.002817918075,5.644392953791,2.811530951324
