iteration,max_diff,ave_diff,max_diff_true,ave_diff_true
1,0.694368508605,0.364502023097,0.951333906976,0.481851311409
2,0.565706003324,0.287136234069,0.840768721831,0.430454254010
3,0.627833144023,0.313426396117,0.633356022907,0.329881069023
4,0.570316525532,0.283796895120,0.044440492760,0.024887840486
5,0.095285564325,0.045303171539,1.294325227686,0.654134272954
6,0.083988477482,0.040567273308,1.094727897834,0.559794073558
7,0.074022598118,0.036097096012,0.932426350785,0.481661624015
8,0.065469612715,0.032127861511,0.799241798238,0.416820580339
9,0.058179256546,0.028675011290,0.688791319624,0.362592837181
10,0.051954780102,0.025687183642,0.597372020353,0.316816741338
11,0.046612016340,0.023098369745,0.521108860678,0.277812487044
12,0.041994721824,0.020845628852,0.455383455669,0.244286366313
13,0.037975205421,0.018874303784,0.398189202006,0.215239508013
14,0.034450567213,0.017138689563,0.348120218940,0.189894931693
15,0.031338174865,0.015601163625,0.304050564363,0.167642508004
16,0.028571559325,0.014230924644,0.265073562720,0.147998244153
17,0.026097021987,0.013002761016,0.230454079175,0.130574288681
18,0.023870937126,0.011895983459,0.199591611585,0.115056761382
19,0.021857642884,0.010893545301,0.171991900940,0.101189254543
20,0.020027802482,0.009981334202,0.147245080524,0.088760449169
21,0.018357131448,0.009147607893,0.125008792887,0.077594732949
22,0.016825406554,0.008382546344,0.104995071831,0.067545024345
23,0.015415690711,0.007677896310,0.086960082852,0.058487231978
24,0.014113723550,0.007026688547,0.070696042778,0.050315937080
25,0.012907439437,0.006423012024,0.056024809881,0.042940998990
26,0.011786583958,0.005861832847,0.045253972851,0.036284863498
27,0.010742406881,0.005338848316,0.045229349845,0.030280410982
28,0.009767414801,0.004850368707,0.045206013480,0.024869222586
29,0.008855170692,0.004393220995,0.045183926899,0.020000544071
30,0.008000130454,0.003964670028,0.045163051859,0.020579353516
31,0.007197508865,0.003562353629,0.045143348858,0.024450135438
32,0.006443168976,0.003184228878,0.045124777223,0.027925995745
33,0.005733530306,0.002828527382,0.045107295197,0.031012583309
34,0.000096312329,0.000040735129,0.045090859996,0.033738274708
35,0.000122238173,0.000051712625,0.045090276854,0.033698792099
36,0.000146706100,0.000062081112,0.045089527606,0.033648664147
37,0.000169877776,0.000071909948,0.045088615290,0.033588477686
38,0.000191786728,0.000081214246,0.045087541172,0.033518751947
39,0.000212416553,0.000089987927,0.045086305560,0.033439991242
40,0.000231729498,0.000098215798,0.045084908150,0.033352705600
41,0.000249679317,0.000105878985,0.045083348207,0.033257419706
42,0.000266217911,0.000112957731,0.045081624673,0.033154676586
43,0.000281299126,0.000119432996,0.045079736239,0.033045038560
44,0.000294881092,0.000125287438,0.045077681394,0.032929086659
45,0.000306927753,0.000130506054,0.045075458464,0.032807419071
46,0.000317409901,0.000135076615,0.045073065647,0.032680648964
47,0.000326305895,0.000138989958,0.045070501032,0.032549401879
48,0.000333602153,0.000142240198,0.045067762631,0.032414312820
49,0.000339293481,0.000144824856,0.045064848393,0.032276023140
50,0.000343383267,0.000146744945,0.045061756230,0.032135177276
51,0.000345883559,0.000148004999,0.045058484030,0.031992419394
52,0.000346815061,0.000148613072,0.045055029676,0.031848389987
53,0.000346207022,0.000148580696,0.045051391065,0.031703722461
54,0.000344097065,0.000147922810,0.045047566118,0.031559039748
55,0.000340530927,0.000146657658,0.045043552798,0.031414950973
56,0.000335562140,0.000144806658,0.045039349124,0.031272048205
57,0.000329251639,0.000142394253,0.045034953181,0.031130903326
58,0.000321667319,0.000139447726,0.045030363134,0.030992065034
59,0.000312883527,0.000135997004,0.045025577239,0.030856056009
60,0.000302980508,0.000132074437,0.045020593855,0.030723370277
61,0.000292043806,0.000127714560,0.045015411446,0.030594470765
62,0.000280163626,0.000122953838,0.045010028599,0.030469787097
63,0.000267434156,0.000117830405,0.045004444025,0.030349713627
64,0.000253952868,0.000112383778,0.044998656566,0.030234607731
65,0.000239819793,0.000106654578,0.044992665201,0.030124788379
66,0.000225136785,0.000100684232,0.044986469050,0.030020534975
67,0.000210006774,0.000094514682,0.044980067378,0.029922086498
68,0.000194533021,0.000088188086,0.044973459595,0.029829640927
69,0.000178818377,0.000081746525,0.044966645259,0.029743354974
70,0.000162964555,0.000075231713,0.044959624074,0.029663344095
71,0.000147071426,0.000068684714,0.044952395889,0.029589682807
72,0.000131236331,0.000062145669,0.044944960698,0.029522405281
73,0.000115553440,0.000055653532,0.044937318636,0.029461506213
74,0.000100113131,0.000049245828,0.044929469974,0.029406941961
75,0.000085001425,0.000042958416,0.044921415115,0.029358631926
76,0.000070299465,0.000036825277,0.044913154588,0.029316460178
77,0.000056271638,0.000030878317,0.044904689044,0.029280277292
78,0.000043944603,0.000025147198,0.044896019246,0.029249902379
79,0.000033607508,0.000019659178,0.044887146062,0.029225125300
80,0.000024229936,0.000014438985,0.044878070459,0.029205709030
81,0.000015342936,0.000009508711,0.044868793491,0.029191392158
82,0.000009260873,0.000005254024,0.044859316294,0.029181891487
83,0.000015542505,0.000006753971,0.044849640073,0.029176904727
84,0.000024760670,0.000010859713,0.044839766097,0.029176113242
85,0.000033117466,0.000014613479,0.044829695683,0.029179184838
86,0.000040596999,0.000018007131,0.044819430193,0.029185776558
87,0.000047190249,0.000021035333,0.044808971018,0.029195537471
88,0.000052894909,0.000023695505,0.044798319576,0.029208111432
89,0.000057715180,0.000025987746,0.044787477292,0.029223139784
90,0.000061661514,0.000027914751,0.044776445601,0.029240263989
91,0.000064750318,0.000029481700,0.044765225927,0.029259128172
92,0.000067003623,0.000030696136,0.044753819684,0.029279381555
