iteration,max_diff,R_max_diff,W_max_diff,Z_diff
1,1.2871085478310631,1.2871085478310631,0.0401895727631796,0.3308286244659682
2,0.6409019690035416,0.1810906208583776,0.0432220059702239,0.0334917594638811
3,0.4140552261238050,0.4140552261238050,0.0439103410162921,0.2463211481155925
4,0.3621553119487279,0.3621553119487279,0.0438399287131762,0.1680120756803198
5,0.3133622118957978,0.3133622118957978,0.0437696521522177,0.1146841366113199
6,0.2681055813772911,0.2681055813772911,0.0437010591055733,0.0780925030847942
7,0.2265231234925622,0.2265231234925622,0.0436350963296153,0.0528421775073331
8,0.1886021048574985,0.1886021048574985,0.0435723435468308,0.0353790063105579
9,0.1542513443604431,0.1542513443604431,0.0435131448178973,0.0233255407082738
10,0.1233387903496619,0.1233387903496619,0.0434576863225207,0.0150630724059730
11,0.0957115290954035,0.0957115290954035,0.0434060444798653,0.0094704656843351
12,0.0712065112221163,0.0712065112221163,0.0433582167962164,0.0057593935844413
13,0.0496562390117223,0.0496562390117223,0.0433141422342352,0.0033686636979086
14,0.0432737150174914,0.0308916695390817,0.0432737150174914,0.0018951366746858
15,0.0432367942198987,0.0147435718477201,0.0432367942198987,0.0010476656934680
16,0.0432032106023799,0.0103543847537845,0.0432032106023799,0.0006157762419500
17,0.0431727716369609,0.0224191120893966,0.0431727716369609,0.0004479529909676
18,0.0431452653415434,0.0323524329494247,0.0431452653415434,0.0004362953854549
19,0.0431204633508168,0.0403184035938683,0.0431204633508168,0.0005054626550698
20,0.0431187883566148,0.0399370788107940,0.0431187883566148,0.0005000727548479
21,0.0431166114510424,0.0394647709603940,0.0431166114510424,0.0004936565534213
22,0.0431139266236776,0.0389141237619688,0.0431139266236776,0.0004865389659313
23,0.0431107216310196,0.0382976183363167,0.0431107216310196,0.0004790336170612
24,0.0431069807078772,0.0376278783387677,0.0431069807078772,0.0004714350711940
25,0.0431026859890387,0.0369176482516548,0.0431026859890387,0.0004640082467740
26,0.0430978184601265,0.0361796544206418,0.0430978184601265,0.0004569787848263
27,0.0430923586904434,0.0354264187746637,0.0430923586904434,0.0004505258562917
28,0.0430862874417077,0.0346700560184913,0.0430862874417077,0.0004447780661228
29,0.0430795861904201,0.0339220710877008,0.0430795861904201,0.0004398126470588
30,0.0430722375788049,0.0331931676362727,0.0430722375788049,0.0004356577998810
31,0.0430642257993220,0.0324930752280655,0.0430642257993220,0.0004322977771754
32,0.0430555369134520,0.0318304009623017,0.0430555369134520,0.0004296801141176
33,0.0430461591039240,0.0312125097942292,0.0430461591039240,0.0004277242878247
34,0.0430360828594791,0.0306454365336426,0.0430360828594791,0.0004263310361707
35,0.0430253010919947,0.0301338313040197,0.0430253010919947,0.0004253915882439
36,0.0430138091869778,0.0296809390895708,0.0430138091869778,0.0004247961421049
37,0.0430016049898202,0.0292886128900922,0.0430016049898202,0.0004244410596766
38,0.0429886887316629,0.0289573589657034,0.0429886887316629,0.0004242344158041
39,0.0429750629000970,0.0286864117137813,0.0429750629000970,0.0004240997197457
40,0.0429607320611653,0.0284738349073797,0.0429607320611653,0.0004239778039832
41,0.0429457026401418,0.0283166453626832,0.0429457026401418,0.0004238270309731
42,0.0429299826693280,0.0282109546102818,0.0429299826693280,0.0004236220896417
43,0.0429135815115674,0.0281521238306568,0.0429135815115674,0.0004233517335656
44,0.0428965095683627,0.0281349271789178,0.0428965095683627,0.0004230158485888
45,0.0428787779813672,0.0281537186599689,0.0428787779813672,0.0004226222321006
46,0.0428603983356516,0.0282025979082085,0.0428603983356516,0.0004221834254156
47,0.0428413823725446,0.0282755705553484,0.0428413823725446,0.0004217138746575
48,0.0428217417190469,0.0283666993119032,0.0428217417190469,0.0004212276139257
49,0.0428014876398734,0.0284702424163109,0.0428014876398734,0.0004207365786188
50,0.0427806308171238,0.0285807766940797,0.0427806308171238,0.0004202495755335
51,0.0427591811614665,0.0286933030924298,0.0427591811614665,0.0004197718670275
52,0.0427371476575785,0.0288033331902898,0.0427371476575785,0.0004193052743817
53,0.0427145382454589,0.0289069558086885,0.0427145382454589,0.0004188486721410
54,0.0426913597381506,0.0290008834451591,0.0426913597381506,0.0004183987314273
55,0.0426676177753865,0.0290824788136129,0.0426676177753865,0.0004179507730991
56,0.0426433168117579,0.0291497622772040,0.0426433168117579,0.0004174996086719
57,0.0426184601371827,0.0292014014078289,0.0426184601371827,0.0004170402730262
58,0.0425930499267512,0.0292366842863791,0.0425930499267512,0.0004165685845952
59,0.0425670873164562,0.0292554784691418,0.0425670873164562,0.0004160815007930
60,0.0425405725008688,0.0292581777860279,0.0425405725008688,0.0004155772664661
61,0.0425135048485093,0.0292456393053212,0.0425135048485093,0.0004150553771159
62,0.0424858830304821,0.0292191128983693,0.0424858830304821,0.0004145163964339
63,0.0424577051578874,0.0291801658682217,0.0424577051578874,0.0004139616772492
64,0.0424289689235884,0.0291306050718491,0.0424289689235884,0.0004133930374062
65,0.0423996717440899,0.0290723988704764,0.0423996717440899,0.0004128124383372
66,0.0423698108975663,0.0290076010919701,0.0423698108975663,0.0004122217049735
67,0.0423393836544436,0.0289382789893676,0.0423393836544436,0.0004116223142440
68,0.0423083873973925,0.0288664469377218,0.0423083873973925,0.0004110152660926
69,0.0422768197280934,0.0287940073355230,0.0422768197280934,0.0004104010385725
70,0.0422446785586874,0.0287226998758549,0.0422446785586874,0.0004097796181886
71,0.0422119621864104,0.0286540600354777,0.0422119621864104,0.0004091505886184
72,0.0421786693504912,0.0285893873068406,0.0421786693504912,0.0004085132567514
73,0.0421447992709802,0.0285297233782128,0.0421447992709802,0.0004078667937006
74,0.0421103516697285,0.0284758401599813,0.0421103516697285,0.0004072103703274
75,0.0420753267742533,0.0284282372693151,0.0420753267742533,0.0004065432708029
76,0.0420397253056882,0.0283871483285149,0.0420397253056882,0.0004058649731524
77,0.0420035484524130,0.0283525552108811,0.0420035484524130,0.0004051751918372
78,0.0419667978312792,0.0283242091868392,0.0419667978312792,0.0004044738827524
79,0.0419294754385931,0.0283016577857594,0.0419294754385931,0.0004037612161706
80,0.0418915835931760,0.0282842760971554,0.0418915835931760,0.0004030375259850
81,0.0418531248739013,0.0282713011888655,0.0418531248739013,0.0004023032456663
82,0.0418141020541057,0.0282618683179724,0.0418141020541057,0.0004015588412214
83,0.0417745180351972,0.0282550476497753,0.0417745180351972,0.0004008047504321
84,0.0417343757816371,0.0282498802770740,0.0417343757816371,0.0004000413352391
85,0.0416936782592749,0.0282454124413429,0.0416936782592749,0.0003992688515284
86,0.0416524283787646,0.0282407269933876,0.0416524283787646,0.0003984874376742
87,0.0416106289455069,0.0282349712876167,0.0416106289455069,0.0003976971204057
88,0.0415682826172494,0.0282273808747748,0.0415682826172494,0.0003968978347800
89,0.0415253918701547,0.0282172985365410,0.0415253918701547,0.0003960894534642
90,0.0414819589738188,0.0282041883856930,0.0414819589738188,0.0003952718200935
91,0.0414379859754021,0.0281876449318738,0.0414379859754021,0.0003944447817512
92,0.0413934746927352,0.0281673971802184,0.0413934746927352,0.0003936082164646
93,0.0413484267159815,0.0281433079836850,0.0413484267159815,0.0003927620526283
94,0.0413028434171964,0.0281153690061231,0.0413028434171964,0.0003919062791702
95,0.0412567259669138,0.0280836917688815,0.0412567259669138,0.0003910409461946
96,0.0412100753567240,0.0280484953469336,0.0412100753567240,0.0003901661575494
97,0.0411628924266851,0.0280100913496752,0.0411628924266851,0.0003892820572946
98,0.0411151778963319,0.0279688668661487,0.0411151778963319,0.0003883888127802
99,0.0410669323980128,0.0279252660746390,0.0410669323980128,0.0003874865970234
100,0.0410181565112950,0.0278797712132552,0.0410181565112950,0.0003865755727860
101,0.0409688507972254,0.0278328835828019,0.0409688507972254,0.0003856558803795
102,0.0409190158313222,0.0277851052080734,0.0409190158313222,0.0003847276300776
103,0.0408686522342846,0.0277369217212766,0.0408686522342846,0.0003837908997476
104,0.0408177606995513,0.0276887869546118,0.0408177606995513,0.0003828457372288
105,0.0407663420169979,0.0276411096413847,0.0407663420169979,0.0003818921664549
106,0.0407143970922364,0.0275942425298509,0.0407143970922364,0.0003809301960641
107,0.0406619269611607,0.0275484741148144,0.0406619269611607,0.0003799598290693
108,0.0406089327995618,0.0275040230922565,0.0406089327995618,0.0003789810719945
109,0.0405554159278125,0.0274610355452569,0.0405554159278125,0.0003779939424549
110,0.0405013778107833,0.0274195847781896,0.0405013778107833,0.0003769984743405
111,0.0404468200533027,0.0273796736332986,0.0404468200533027,0.0003759947201480
112,0.0403917443916008,0.0273412390515143,0.0403917443916008,0.0003749827506227
113,0.0403361526812837,0.0273041585795122,0.0403361526812837,0.0003739626520032
114,0.0402800468824664,0.0272682584787800,0.0402800468824664,0.0003729345215698
115,0.0402234290427472,0.0272333230605513,0.0402234290427472,0.0003718984623963
116,0.0401663012787361,0.0271991048530830,0.0401663012787361,0.0003708545779614
117,0.0401086657568543,0.0271653352045686,0.0401086657568543,0.0003698029675139
118,0.0400505246740984,0.0271317349352393,0.0400505246740984,0.0003687437226083
119,0.0399918802394241,0.0270980246747317,0.0399918802394241,0.0003676769251644
120,0.0399327346563389,0.0270639345540835,0.0399327346563389,0.0003666026471841
121,0.0398730901072180,0.0270292129639929,0.0398730901072180,0.0003655209518583
122,0.0398129487397679,0.0269936341402801,0.0398129487397679,0.0003644318957797
123,0.0397523126559597,0.0269570043917430,0.0397523126559597,0.0003633355318798
124,0.0396911839036568,0.0269191668427168,0.0396911839036568,0.0003622319124859
125,0.0396295644710502,0.0268800046205372,0.0396295644710502,0.0003611210922076
126,0.0395674562839193,0.0268394424748254,0.0395674562839193,0.0003600031301635
127,0.0395048612056333,0.0267974468692317,0.0395048612056333,0.0003588780913851
128,0.0394417810397257,0.0267540246354127,0.0394417810397257,0.0003577460472926
129,0.0393782175347940,0.0267092203222019,0.0393782175347940,0.0003566070753118
130,0.0393141723914151,0.0266631124091015,0.0393141723914151,0.0003554612577368
131,0.0392496472707149,0.0266158085815668,0.0392496472707149,0.0003543086801170
132,0.0391846438041978,0.0265674402856177,0.0391846438041978,0.0003531494294497
133,0.0391191636044212,0.0265181567908680,0.0391191636044212,0.0003519835924138
134,0.0390532082760974,0.0264681189942534,0.0390532082760974,0.0003508112539202
135,0.0389867794272138,0.0264174931919094,0.0389867794272138,0.0003496324960693
136,0.0389198786797858,0.0263664450344271,0.0389198786797858,0.0003484473977145
137,0.0388525076798941,0.0263151338619244,0.0388525076798941,0.0003472560345257
