iteration,max_diff,R_max_diff,W_max_diff,Z_diff
1,5.7745646481797888,5.7745646481797888,0.2657562415437423,1.4457910469577959
2,1.3385117507941555,1.3385117507941555,0.2588158469445233,0.2434378366463688
3,0.2565047843496809,0.1181133333063684,0.2565047843496809,0.0126054413892753
4,0.4346022260139253,0.4346022260139253,0.2555449349071306,0.1052046874712754
5,0.4341343957348674,0.4341343957348674,0.2550451572905165,0.1115763400433109
6,0.3838239174379880,0.3838239174379880,0.2550394836372432,0.0759847277967165
7,0.3381728369680606,0.3381728369680606,0.2550286307418759,0.0526096736302869
8,0.2972643533074627,0.2972643533074627,0.2550124042083393,0.0373410514985538
9,0.2611429306114391,0.2611429306114391,0.2549906883261399,0.0274556404821342
10,0.2549634224048538,0.2298136005479680,0.2549634224048538,0.0211512839678251
11,0.2549305848282565,0.2035140985885426,0.2549305848282565,0.0172253904539477
12,0.2548921828053263,0.1825193538269713,0.2548921828053263,0.0148674053309873
13,0.2548482456634549,0.1667719131280110,0.2548482456634549,0.0135268269598430
14,0.2547988202805241,0.1559384154449991,0.2547988202805241,0.0128287158429284
15,0.2547439677917138,0.1496325818697935,0.2547439677917138,0.0125187339009949
16,0.2546837610365033,0.1474331255079704,0.2546837610365033,0.0124266429746706
17,0.2546182824092356,0.1463227019589636,0.2546182824092356,0.0124414815230460
18,0.2545476218978819,0.1455068027081505,0.2545476218978819,0.0124942411882983
19,0.2545300705733026,0.1455844412428483,0.2545300705733026,0.0124831938542560
20,0.2545075956521084,0.1456758634555038,0.2545075956521084,0.0124705366599404
21,0.2544803352408522,0.1457761245465571,0.2544803352408522,0.0124571131372706
22,0.2544483793771680,0.1458804878370634,0.2544483793771680,0.0124436536410043
23,0.2544117937549910,0.1459844996280633,0.2544117937549910,0.0124307413014956
24,0.2543706294963968,0.1460841112459438,0.2543706294963968,0.0124187874577161
25,0.2543249278980473,0.1461757963434656,0.2543249278980473,0.0124080244244860
26,0.2542747229899206,0.1462566444789798,0.2542747229899206,0.0123985163189506
27,0.2542200430322914,0.1463244228071862,0.2542200430322914,0.0123901851361934
28,0.2541609114666960,0.1463776029364778,0.2541609114666960,0.0123828472130296
29,0.2540973475811025,0.1464153533106134,0.2540973475811025,0.0123762543042800
