iteration,max_diff,R_max_diff,W_max_diff,Z_diff
1,1.599160563,1.599160563,0.428902306,0.60301698
2,0.412666871,0.079486691,0.412666871,0.047659039
3,0.408375429,0.357268767,0.408375429,0.061897005
4,0.406669013,0.364592766,0.406669013,0.064989119
5,0.406619795,0.321311683,0.406619795,0.050905642
6,0.406495752,0.285321485,0.406495752,0.043401134
7,0.406296669,0.256362416,0.406296669,0.039620946
8,0.406023585,0.233945926,0.406023585,0.037869386
9,0.405678502,0.21741585,0.405678502,0.037151054
10,0.405264103,0.206002627,0.405264103,0.036900643
11,0.404783528,0.198865691,0.404783528,0.036817444
12,0.404240172,0.195131555,0.404240172,0.036760275
13,0.40363748,0.193932614,0.40363748,0.036678647
14,0.402978767,0.194447961,0.402978767,0.036567305
15,0.402267031,0.195944129,0.402267031,0.036437479
16,0.401504807,0.197810983,0.401504807,0.036300938
17,0.400694063,0.199586882,0.400694063,0.036163677
18,0.39983617,0.200968249,0.39983617,0.036025855
19,0.398931924,0.201801689,0.398931924,0.035884577
20,0.397981645,0.202060641,0.397981645,0.035736766
21,0.396985297,0.201811781,0.396985297,0.035580735
22,0.395942633,0.201177809,0.395942633,0.035416304
23,0.394853325,0.200302753,0.394853325,0.035244137
24,0.393717069,0.199324104,0.393717069,0.035064985
25,0.392533664,0.198353876,0.392533664,0.034879274
26,0.391303045,0.197468769,0.391303045,0.034687068
27,0.390025292,0.196708227,0.390025292,0.034488237
28,0.388700622,0.196078486,0.388700622,0.034282655
29,0.387329352,0.195560416,0.387329352,0.034070303
30,0.38591187,0.195119082,0.38591187,0.033851278
31,0.384448592,0.194713211,0.384448592,0.033625734
32,0.382939937,0.194303251,0.382939937,0.033393827
33,0.381386301,0.193857154,0.381386301,0.033155678
34,0.379788046,0.193353596,0.379788046,0.032911379
35,0.378145494,0.192782729,0.378145494,0.032661009
36,0.376458936,0.192144968,0.376458936,0.032404651
37,0.374728639,0.191448449,0.374728639,0.032142406
38,0.372954858,0.190705879,0.372954858,0.031874387
39,0.37113785,0.189931428,0.37113785,0.031600715
40,0.369277881,0.189138112,0.369277881,0.031321511
41,0.367375239,0.188335989,0.367375239,0.031036894
42,0.365430231,0.187531235,0.365430231,0.030746983
43,0.363443191,0.186726052,0.363443191,0.030451896
44,0.36141447,0.185919227,0.36141447,0.030151755
45,0.35934444,0.1851071,0.35934444,0.029846687
46,0.357233485,0.184284706,0.357233485,0.029536822
47,0.355081997,0.183446861,0.355081997,0.029222292
48,0.352890375,0.182589047,0.352890375,0.028903231
49,0.35065902,0.181707989,0.35065902,0.028579775
50,0.348388335,0.180801913,0.348388335,0.028252062
51,0.346078726,0.179870503,0.346078726,0.02792023
52,0.343730601,0.178914637,0.343730601,0.027584423
53,0.341344375,0.177935994,0.341344375,0.027244782
54,0.338920468,0.176936615,0.338920468,0.026901456
55,0.336459308,0.175918503,0.336459308,0.026554592
56,0.333961334,0.174883318,0.333961334,0.026204339
57,0.331426995,0.173832184,0.331426995,0.02585085
58,0.328856751,0.172765634,0.328856751,0.025494279
59,0.326251073,0.171683652,0.326251073,0.025134779
60,0.323610442,0.170585795,0.323610442,0.024772509
61,0.320935348,0.169471362,0.320935348,0.024407627
62,0.318226292,0.168339565,0.318226292,0.024040292
63,0.315483783,0.167189678,0.315483783,0.023670666
64,0.312708336,0.16602115,0.312708336,0.023298913
65,0.309900476,0.164833662,0.309900476,0.022925197
66,0.307060736,0.163627141,0.307060736,0.022549683
67,0.304189655,0.162401731,0.304189655,0.022172538
68,0.301287782,0.161157736,0.301287782,0.02179393
69,0.298355673,0.159895549,0.298355673,0.021414028
70,0.295393894,0.158615585,0.295393894,0.021033003
71,0.292403021,0.157318221,0.292403021,0.020651024
72,0.289383636,0.156003759,0.289383636,0.020268264
73,0.286336334,0.154672405,0.286336334,0.019884896
74,0.283261717,0.153324272,0.283261717,0.019501092
75,0.280160398,0.15195939,0.280160398,0.019117026
76,0.277032999,0.150577739,0.277032999,0.018732873
77,0.27388015,0.149179274,0.27388015,0.018348806
78,0.270702492,0.147763957,0.270702492,0.017965
79,0.267500673,0.146331777,0.267500673,0.01758163
80,0.264275351,0.144882765,0.264275351,0.017198871
81,0.261027193,0.143417002,0.261027193,0.016816897
82,0.257756874,0.141934617,0.257756874,0.016435884
83,0.254465079,0.140435779,0.254465079,0.016056005
84,0.2511525,0.138920685,0.2511525,0.015677434
85,0.247819841,0.137389548,0.247819841,0.015300344
86,0.244467812,0.135842587,0.244467812,0.014924909
87,0.241097133,0.134280014,0.241097133,0.014551299
88,0.237708534,0.132702032,0.237708534,0.014179686
89,0.234302751,0.131108835,0.234302751,0.01381024
90,0.230880533,0.129500603,0.230880533,0.013443128
91,0.227442634,0.127877513,0.227442634,0.013078519
92,0.223989819,0.12623974,0.223989819,0.012716577
93,0.22052286,0.124587465,0.22052286,0.012357469
94,0.217042539,0.122920878,0.217042539,0.012001354
95,0.213549646,0.121240185,0.213549646,0.011648396
96,0.210044978,0.119545608,0.210044978,0.01129875
97,0.206529341,0.117837386,0.206529341,0.010952575
98,0.20300355,0.116115776,0.20300355,0.010610024
99,0.199468427,0.114381049,0.199468427,0.010271249
100,0.195924802,0.11263349,0.195924802,0.009936397
101,0.192373513,0.110873398,0.192373513,0.009605616
102,0.188815404,0.109101075,0.188815404,0.009279049
103,0.185251329,0.107316837,0.185251329,0.008956834
104,0.181682148,0.105521003,0.181682148,0.008639109
105,0.178108728,0.103713901,0.178108728,0.008326008
106,0.174531942,0.101895865,0.174531942,0.008017659
107,0.170952672,0.100067239,0.170952672,0.007714189
108,0.167371806,0.098228376,0.167371806,0.007415719
109,0.163790236,0.09637964,0.163790236,0.007122368
110,0.160208864,0.094521408,0.160208864,0.006834249
